Title	URL	Assignees	Story Points	Status	Date Started	Date Completed	Module Label	Priority Level	Labels
Fix: utilize policies	https://github.com/cgob-mitd-dev/egov-bebs/issues/183	KarstnAncheta	40	Archived - New	Aug 11, 2023	Aug 16, 2023	misc	P3	backend, enhancement
Feature: Add custom command for modules	https://github.com/cgob-mitd-dev/egov-bebs/issues/169	KarstnAncheta	4	Archived - New	Jul 27, 2023	Jul 27, 2023	misc	P1	backend
Fix frontend routing	https://github.com/cgob-mitd-dev/egov-bebs/issues/188	KarstnAncheta	4	Archived - New	Aug 27, 2023	Aug 27, 2023	mvp	P2	enhancement, frontend
Fix: add "is_locked" flag to personnel schedules table	https://github.com/cgob-mitd-dev/egov-bebs/issues/181	KarstnAncheta	0.5	Archived - New	Aug 1, 2023	Aug 1, 2023	misc	P3	backend, enhancement
Revamp Form 2	https://github.com/cgob-mitd-dev/egov-bebs/issues/170	KarstnAncheta	4	Archived - New	Aug 17, 2023	Aug 17, 2023	misc	P1	backend, enhancement, frontend
Revamp Form AIP	https://github.com/cgob-mitd-dev/egov-bebs/issues/174	KarstnAncheta	8	Archived - New	Aug 21, 2023	Aug 21, 2023	misc	P1	backend, enhancement, frontend
Revamp Form Supplies	https://github.com/cgob-mitd-dev/egov-bebs/issues/175	KarstnAncheta	4	Archived - New	Aug 17, 2023	Aug 17, 2023	misc	P1	backend, enhancement, frontend
Revamp Form BDRRM	https://github.com/cgob-mitd-dev/egov-bebs/issues/128	KarstnAncheta	4	Archived - New	Aug 21, 2023	Aug 21, 2023	misc	P1	backend, enhancement, frontend
Add permissions	https://github.com/cgob-mitd-dev/egov-bebs/issues/178	KarstnAncheta	8	Archived - New	Jul 28, 2023	Aug 1, 2023	mvp	P2	backend, enhancement
Use Repository Service Pattern	https://github.com/cgob-mitd-dev/egov-bebs/issues/179	KarstnAncheta	80	Archived - New	Aug 1, 2023	Aug 11, 2023	misc	P3	backend, enhancement
Revamp Form 4	https://github.com/cgob-mitd-dev/egov-bebs/issues/172	KarstnAncheta	4	Archived - New	Aug 18, 2023	Aug 19, 2023	misc	P1	backend, enhancement, frontend
Revamp Form Others	https://github.com/cgob-mitd-dev/egov-bebs/issues/177	KarstnAncheta	4	Archived - New	Aug 18, 2023	Aug 18, 2023	misc	P1	backend, enhancement, frontend
Revamp Form Equipment	https://github.com/cgob-mitd-dev/egov-bebs/issues/176	KarstnAncheta	4	Archived - New	Aug 18, 2023	Aug 18, 2023	misc	P1	backend, enhancement, frontend
Revamp Form 1	https://github.com/cgob-mitd-dev/egov-bebs/issues/127	KarstnAncheta	8	Archived - New	Aug 22, 2023	Aug 23, 2023	misc	P1	backend, enhancement, frontend
Rename Approval to Checklist	https://github.com/cgob-mitd-dev/egov-bebs/issues/125	KarstnAncheta	4	Archived - New	Aug 25, 2023	Aug 25, 2023	misc	P3	backend, enhancement, frontend
Update PersonnelController API	https://github.com/cgob-mitd-dev/egov-bebs/issues/120	KarstnAncheta	4	Archived - New	Aug 24, 2023	Aug 24, 2023	misc	P1	backend, enhancement
Add Policy for Ppa CRUD	https://github.com/cgob-mitd-dev/egov-bebs/issues/186	KarstnAncheta	2	Archived - New	Aug 25, 2023	Aug 25, 2023	mvp	P2	backend
Revamp Form 3	https://github.com/cgob-mitd-dev/egov-bebs/issues/171	KarstnAncheta	4	Archived - New	Aug 19, 2023	Aug 19, 2023	misc	P1	backend, enhancement, frontend
Revamp Form 2A	https://github.com/cgob-mitd-dev/egov-bebs/issues/173	KarstnAncheta	8	Archived - New	Aug 19, 2023	Aug 20, 2023	misc	P1	backend, enhancement, frontend
Show control value computations	https://github.com/cgob-mitd-dev/egov-bebs/issues/193	KarstnAncheta	4	Archived - New	Aug 31, 2023	Aug 31, 2023	misc	P1	backend, enhancement, frontend
Add discretionary fund	https://github.com/cgob-mitd-dev/egov-bebs/issues/154	KarstnAncheta	1	Archived - New	Jul 12, 2023	Jul 12, 2023	misc	P3	backend, frontend
Update heading spacing	https://github.com/cgob-mitd-dev/egov-bebs/issues/157	KarstnAncheta	2	Archived - New	Jul 12, 2023	Jul 13, 2023	misc	P3	enhancement, frontend
Split Beginning Cash Balance into 4	https://github.com/cgob-mitd-dev/egov-bebs/issues/126	KarstnAncheta	8	Archived - New	Jul 8, 2023	Jul 8, 2023	misc	P1	backend, enhancement, frontend
Rename 4-01-04-010	https://github.com/cgob-mitd-dev/egov-bebs/issues/129	KarstnAncheta	0.5	Archived - New	Jul 7, 2023	Jul 7, 2023	misc	P1	backend
Revamp Form 2	https://github.com/cgob-mitd-dev/egov-bebs/issues/111	KarstnAncheta	8	Archived - New	Jul 4, 2023	Jul 5, 2023	misc	P3	backend, frontend
Remove debugging message in Expenditure Class Modal	https://github.com/cgob-mitd-dev/egov-bebs/issues/116	KarstnAncheta	1	Archived - New	Jul 6, 2023	Jul 6, 2023	misc	P3	bug, frontend
Add Employment Date in Personnel Resource	https://github.com/cgob-mitd-dev/egov-bebs/issues/115	KarstnAncheta	0.5	Archived - New	Jul 6, 2023	Jul 6, 2023	misc	P1	backend, bug
Add "No Debts" message	https://github.com/cgob-mitd-dev/egov-bebs/issues/118	KarstnAncheta	0.5	Archived - New	Jul 6, 2023	Jul 6, 2023	misc	P3	enhancement, frontend
Add "Development Project" Identifier	https://github.com/cgob-mitd-dev/egov-bebs/issues/119	KarstnAncheta	1	Archived - New	Jul 6, 2023	Jul 6, 2023	mvp	P1	enhancement, frontend
Update Feedback Page	https://github.com/cgob-mitd-dev/egov-bebs/issues/124	KarstnAncheta	1	Archived - New	Jul 6, 2023	Jul 6, 2023	misc	P1	enhancement, frontend
Update Date Fields Style	https://github.com/cgob-mitd-dev/egov-bebs/issues/123	KarstnAncheta	4	Archived - New	Jul 6, 2023	Jul 6, 2023	misc	P3	enhancement, frontend
Use abort instead of json response for errors	https://github.com/cgob-mitd-dev/egov-bebs/issues/151	KarstnAncheta	2	Archived - New	Jul 11, 2023	Jul 11, 2023	misc	P3	backend, enhancement
Update Project Details Modal UI	https://github.com/cgob-mitd-dev/egov-bebs/issues/122	KarstnAncheta	2	Archived - New	Jul 6, 2023	Jul 6, 2023	misc	P3	enhancement, frontend
