Title	URL	Assignees	Story Points	Status	Date Started	Date Completed	Module Label	Priority Level	Labels
remove account code for terminal benefits	https://github.com/cgob-mitd-dev/egov-bebs/issues/110	KarstnAncheta	0.5	Archived - Old	Jun 25, 2023	Jun 25, 2023	miscellaneous tasks	P1	backend, enhancement
update ProjectDetailsModal	https://github.com/cgob-mitd-dev/egov-bebs/issues/75	KarstnAncheta	2	Archived - Old	Jun 12, 2023	Jun 14, 2023	miscellaneous tasks	P3	enhancement, frontend
rename AIP to Plan and Budget Forms	https://github.com/cgob-mitd-dev/egov-bebs/issues/104	KarstnAncheta	0.5	Archived - Old	Jun 8, 2023	Jun 8, 2023	miscellaneous tasks	P3	enhancement, frontend
S&E add "Others" category	https://github.com/cgob-mitd-dev/egov-bebs/issues/99	KarstnAncheta	16	Archived - Old	Jun 13, 2023	Jun 13, 2023	miscellaneous tasks	P1	backend, enhancement, frontend
AIP PPA rename to Barangay Disaster Risk Reduction Management Fund	https://github.com/cgob-mitd-dev/egov-bebs/issues/97	KarstnAncheta	0.5	Archived - Old	Jun 8, 2023	Jun 8, 2023	miscellaneous tasks	P3	enhancement, frontend
Form 1 - second semester (estimate) if negative value, turn to 0	https://github.com/cgob-mitd-dev/egov-bebs/issues/95	KarstnAncheta	0.5	Archived - Old	Jun 8, 2023	Jun 8, 2023	miscellaneous tasks	P3	backend, enhancement, frontend
add is Development Project flag to Reference	https://github.com/cgob-mitd-dev/egov-bebs/issues/98	KarstnAncheta	0.5	Archived - Old	Jun 19, 2023	Jun 20, 2023	miscellaneous tasks	P1	backend, enhancement, frontend
optimize TheAIP page	https://github.com/cgob-mitd-dev/egov-bebs/issues/108	KarstnAncheta	8	Archived - Old	Jun 19, 2023	Jun 19, 2023	miscellaneous tasks	P3	backend, enhancement
Add units of issue dropdown	https://github.com/cgob-mitd-dev/egov-bebs/issues/100	KarstnAncheta	4	Archived - Old	Jun 8, 2023	Jun 12, 2023	miscellaneous tasks	P1	enhancement, frontend
connect PPA to ExpenditureClass, ProcurementItem, and Personnel	https://github.com/cgob-mitd-dev/egov-bebs/issues/106	KarstnAncheta	16	Archived - Old	Jun 19, 2023	Jun 19, 2023	miscellaneous tasks	P1	backend, enhancement
utilize pinia stores	https://github.com/cgob-mitd-dev/egov-bebs/issues/90	KarstnAncheta	40	Archived - Old	Jun 8, 2023	Jun 14, 2023	miscellaneous tasks	P3	enhancement, frontend
rename account code 5-01-01-020 -> 5-01-01-010a	https://github.com/cgob-mitd-dev/egov-bebs/issues/102	KarstnAncheta	1	Archived - Old	Jun 8, 2023	Jun 12, 2023	miscellaneous tasks	P1	backend, enhancement
fix AIP Reference Code for projects with one subproject	https://github.com/cgob-mitd-dev/egov-bebs/issues/71	KarstnAncheta	1	Archived - Old	May 18, 2023	May 18, 2023	miscellaneous tasks	P1	backend, enhancement, frontend
fix Form 2A format	https://github.com/cgob-mitd-dev/egov-bebs/issues/72	KarstnAncheta	2	Archived - Old	May 18, 2023	May 18, 2023	miscellaneous tasks	P1	enhancement, frontend
fix ps, mooe, co, and total	https://github.com/cgob-mitd-dev/egov-bebs/issues/77	KarstnAncheta	2	Archived - Old	May 18, 2023	May 18, 2023	miscellaneous tasks	P1	enhancement, frontend
remove receipts from list of Account Codes	https://github.com/cgob-mitd-dev/egov-bebs/issues/79	KarstnAncheta	2	Archived - Old	May 18, 2023	May 18, 2023	miscellaneous tasks	P1	backend, enhancement
remove FE from list of Account Codes	https://github.com/cgob-mitd-dev/egov-bebs/issues/78	KarstnAncheta	1	Archived - Old	May 18, 2023	May 18, 2023	miscellaneous tasks	P1	backend, enhancement
add form 2a total	https://github.com/cgob-mitd-dev/egov-bebs/issues/81	KarstnAncheta	1	Archived - Old	May 18, 2023	May 18, 2023	miscellaneous tasks	P1	enhancement, frontend
Add initial commit	https://github.com/cgob-mitd-dev/egov-bebs/issues/1	KarstnAncheta	2	Archived - Old	Feb 24, 2023	Feb 24, 2023	mvp	P2	backend, frontend
Admin User Module	https://github.com/cgob-mitd-dev/egov-bebs/issues/31	KarstnAncheta	24	Archived - Old	Mar 22, 2023	Mar 24, 2023	mvp	P2	backend, frontend
Budgeting User Module	https://github.com/cgob-mitd-dev/egov-bebs/issues/29	KarstnAncheta	40	Archived - Old	Mar 29, 2023	Apr 9, 2023	mvp	P2	backend
Barangay User Module	https://github.com/cgob-mitd-dev/egov-bebs/issues/28	KarstnAncheta	160	Archived - Old	Apr 3, 2023	Jun 8, 2023	mvp	P2	frontend
add api for receipts	https://github.com/cgob-mitd-dev/egov-bebs/issues/82	KarstnAncheta	2	Archived - Old	May 18, 2023	May 18, 2023	miscellaneous tasks	P1	backend, enhancement
